Id	  DSET	  HHMMSS	    MSEC	 CHAN	   A	 CNTS	    R	    D	 LUCY	  DT1X	     E
  	      	[hhmmss]	[ms.µs ]	     	[dB]	     	 [µs]	 [µs]	 [cm]	  [µs]	  [eu]
La	Label  1: 10:29 Resume
Dt	16 Октябрь 2020 г., Host Time: 10:29:24
Ev	   111	10:29:28	451,5600	   17	40,4	    3	 26,4	 26,6	     	   0,0	255E-1
Ev	   114	10:29:28	470,4799	    6	49,4	    5	 12,4	 27,2	     	   0,0	553E-1
Ev	   117	10:29:28	483,9113	   17	43,4	   12	 50,4	 70,2	     	   0,0	610E-1
Ev	   125	10:29:28	534,3612	   17	46,4	   13	 33,4	 73,6	     	   0,0	145E00
Ev	   128	10:29:28	544,0294	   20	49,0	   11	  8,0	106,2	     	   0,0	802E-1
Ht	   129	10:29:28	545,5481	   17	44,1	   13	  6,4	 73,4	     	1518,7	712E-1
Ev	   132	10:29:28	559,6322	   20	43,7	    3	 37,2	 65,8	     	   0,0	488E-1
Ht	   133	10:29:28	561,1381	   17	46,8	   15	 46,8	 81,2	     	1505,9	124E00
Ev	   145	10:29:28	718,8663	   17	42,6	    5	 15,2	 30,2	     	   0,0	288E-1
Ev	   164	10:29:29	563,1624	   21	46,4	    3	  7,8	 20,0	     	   0,0	319E-1
Ht	   167	10:29:29	564,6233	   24	49,4	    5	 11,4	 50,6	     	1460,9	532E-1
Ht	   168	10:29:29	564,6275	   18	46,8	    4	 10,4	 31,2	     	1465,1	425E-1
Ht	   169	10:29:29	564,6567	   17	49,8	    8	 13,0	 50,4	     	1494,3	120E00
Ev	   174	10:29:29	629,4592	   20	64,4	   17	 15,2	101,4	     	   0,0	242E01
Ev	   185	10:29:29	903,2396	   20	55,8	   11	 10,0	 42,8	     	   0,0	155E00
Ev	   192	10:29:30	 17,9304	   17	50,1	   21	 17,8	124,6	     	   0,0	284E00
Ht	   193	10:29:30	 17,9373	   24	47,1	    4	  7,8	 34,6	     	   6,9	495E-1
Ht	   194	10:29:30	 19,7008	   12	44,1	    7	  5,6	 41,0	     	1770,4	414E-1
Ev	   200	10:29:30	542,0827	   20	52,0	   10	 12,2	 57,6	     	   0,0	143E00
Ev	   202	10:29:30	625,8282	   20	46,0	    4	  5,4	 31,6	     	   0,0	343E-1
Ev	   208	10:29:30	718,5020	   20	49,4	    8	  8,8	 47,4	     	   0,0	658E-1
Ev	   214	10:29:30	925,1324	   11	43,7	    4	 15,8	 19,2	     	   0,0	285E-1
Ev	   217	10:29:31	295,9419	   11	50,9	    4	 25,0	 61,0	     	   0,0	110E00
Ev	   224	10:29:32	  4,5356	   11	47,9	    5	 10,0	 50,6	     	   0,0	896E-1
Ev	   229	10:29:32	533,9262	   11	47,9	    5	  6,6	 32,8	     	   0,0	410E-1
Ev	   272	10:29:34	658,9235	   15	53,9	    9	 14,2	 55,2	     	   0,0	307E00
Ev	   338	10:29:45	339,4090	   25	50,5	    4	  7,0	 22,0	     	   0,0	442E-1
Ev	   374	10:29:51	715,2470	   20	49,4	    4	 25,6	 30,0	     	   0,0	662E-1
Ht	   376	10:29:51	716,6708	   17	51,3	    6	 13,0	 41,2	     	1423,8	116E00
Ht	   377	10:29:51	716,7031	   24	50,9	    4	 12,2	 36,2	     	1456,1	642E-1
Ht	   379	10:29:51	716,7316	   23	46,0	    4	  8,0	 20,2	     	1484,6	381E-1
Ev	   385	10:29:52	 44,1248	   20	44,9	    3	 25,0	 30,4	     	   0,0	333E-1
Ht	   388	10:29:52	 45,6118	   17	44,5	    7	 83,2	109,4	     	1487,0	687E-1
Ev	   397	10:29:52	470,0096	   17	41,9	    3	 11,2	 14,4	     	   0,0	224E-1
Ev	   402	10:29:52	486,3978	   17	49,0	   18	 80,2	121,0	     	   0,0	245E00
Ev	   410	10:29:52	795,6031	   19	44,1	    3	  7,2	 27,4	     	   0,0	197E-1
Ev	   416	10:29:52	866,0059	   20	46,4	    4	 22,6	 40,6	     	   0,0	387E-1
Ht	   417	10:29:52	867,4317	   17	49,4	    7	 12,0	 38,2	     	1425,8	821E-1
Ht	   418	10:29:52	867,4686	   24	49,0	    3	 11,2	 17,0	     	1462,7	397E-1
Ev	   428	10:29:53	206,9716	   12	82,5	   27	 10,6	150,2	     	   0,0	151E03
Ev	   430	10:29:53	217,3791	   12	49,0	    4	  8,8	 35,6	     	   0,0	557E-1
Ev	   432	10:29:53	327,7263	   12	65,9	   16	 10,4	 89,2	     	   0,0	322E01
Ev	   438	10:29:53	745,1934	   20	45,2	    5	  7,8	 41,8	     	   0,0	466E-1
Ht	   439	10:29:53	746,5320	   23	47,1	    7	 19,8	 48,6	     	1338,6	627E-1
Ht	   441	10:29:53	746,6559	   17	52,0	    8	 24,8	 55,0	     	1462,5	220E00
Ht	   442	10:29:53	746,6571	   24	45,6	    4	  5,2	 36,6	     	1463,7	437E-1
Ev	   487	10:29:54	447,7434	   20	50,9	    4	  7,6	 26,4	     	   0,0	667E-1
Ht	   491	10:29:54	449,2867	   24	45,6	    4	  7,2	 25,2	     	1543,3	248E-1
